localization_event_id,array,aru_filename,event_timestamp,aru_file_center_time,bird_position_x,bird_position_y,distance_to_mic_m,nearest_recorder,aiid_label_sl,notes_sl,aiid_label_cc,notes_cc,song_based_label,final_label,data_split,clip_name,folder,rel_path,song_center_time,ovenbird_cluster_labels,baseline_resnet18_cluster_labels,hawkears_cluster_labels,birdnet_cluster_labels
SBT-6-76_oven_0000,SBT-6-76,SBT-6-76-35_0+1_1_20160621_053000.wav,2016-06-21 05:35:51-06:00,352,280.8485598,100.1056474,35.39889022,FALSE,31,,1,,1,1,test,0000_oven01.mp3,oven01,audio/SBT-6-76/oven01/0000_oven01.mp3,5,26,21,16,26
SBT-6-76_oven_0000,SBT-6-76,SBT-6-76-34_0+1_0_20160621_053000.wav,2016-06-21 05:35:51-06:00,352,280.8485598,100.1056474,12.82794962,TRUE,31,,1,,1,1,test,0001_oven01.mp3,oven01,audio/SBT-6-76/oven01/0001_oven01.mp3,5,26,21,16,26
SBT-6-76_oven_0000,SBT-6-76,SBT-6-76-40_0+1_1_20160621_053000.wav,2016-06-21 05:35:51-06:00,352,280.8485598,100.1056474,40.47637925,FALSE,31,,1,,1,1,test,0002_oven01.mp3,oven01,audio/SBT-6-76/oven01/0002_oven01.mp3,5,26,21,16,26
SBT-6-76_oven_0000,SBT-6-76,SBT-6-76-30_0+1_1_20160621_053000.wav,2016-06-21 05:35:51-06:00,352,280.8485598,100.1056474,61.32924492,FALSE,31,,1,,1,1,test,0003_oven01.mp3,oven01,audio/SBT-6-76/oven01/0003_oven01.mp3,5,26,21,17,26
SBT-6-76_oven_0000,SBT-6-76,SBT-6-76-39_0+1_0_20160621_053000.wav,2016-06-21 05:35:51-06:00,352,280.8485598,100.1056474,26.36660135,FALSE,31,,1,,1,1,test,0004_oven01.mp3,oven01,audio/SBT-6-76/oven01/0004_oven01.mp3,5,26,21,17,26
SBT-6-76_oven_0008,SBT-6-76,SBT-6-76-33_0+1_1_20160621_060000.wav,2016-06-21 06:03:09-06:00,189.8,281.6349965,102.6543017,30.51266838,FALSE,31,,1,,1,1,test,0005_oven01.mp3,oven01,audio/SBT-6-76/oven01/0005_oven01.mp3,5,26,21,17,26
SBT-6-76_oven_0008,SBT-6-76,SBT-6-76-29_0+1_0_20160621_060000.wav,2016-06-21 06:03:09-06:00,189.8,281.6349965,102.6543017,46.07700351,FALSE,31,,1,,1,1,test,0006_oven01.mp3,oven01,audio/SBT-6-76/oven01/0006_oven01.mp3,5,26,21,16,27
SBT-6-76_oven_0008,SBT-6-76,SBT-6-76-34_0+1_0_20160621_060000.wav,2016-06-21 06:03:09-06:00,189.8,281.6349965,102.6543017,10.19796684,TRUE,31,,1,,1,1,test,0007_oven01.mp3,oven01,audio/SBT-6-76/oven01/0007_oven01.mp3,5,26,21,16,26
SBT-6-76_oven_0008,SBT-6-76,SBT-6-76-39_0+1_0_20160621_060000.wav,2016-06-21 06:03:09-06:00,189.8,281.6349965,102.6543017,28.87901093,FALSE,31,,1,,1,1,test,0008_oven01.mp3,oven01,audio/SBT-6-76/oven01/0008_oven01.mp3,5,26,21,16,27
SBT-6-76_oven_0008,SBT-6-76,SBT-6-76-38_0+1_1_20160621_060000.wav,2016-06-21 06:03:09-06:00,189.8,281.6349965,102.6543017,43.11913167,FALSE,31,,1,,1,1,test,0009_oven01.mp3,oven01,audio/SBT-6-76/oven01/0009_oven01.mp3,5,26,21,16,27
